la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E07000069,Castle Point,16.63,16.44,20.05,26.06,19.17,61.00,56.04,51.75,56.92,70.16672653,6.18,6.42,6.84,7.16,7.31
E07000070,Chelmsford,12.41,17.48,14.57,13.75,10.70,63.48,59.74,62.71,63.77,63.34488113,5.12,5.37,5.61,5.85,5.92
E07000071,Colchester,16.94,20.37,27.03,20.95,19.80,55.66,58.41,63.84,59.43,65.43068402,4.67,4.82,4.97,5.22,5.30
E07000072,Epping Forest,15.26,15.34,18.79,19.90,22.13,57.20,63.11,56.74,60.46,63.93475646,5.23,5.32,5.51,5.74,5.82
E07000073,Harlow,23.56,24.53,28.24,26.34,22.92,48.52,49.63,51.97,53.28,66.14925993,6.11,6.28,6.48,6.63,6.68
E07000074,Maldon,14.51,15.75,22.82,26.28,18.07,60.76,61.61,60.31,55.85,69.21685366,5.33,5.68,6.00,6.27,6.36
E07000075,Rochford,11.03,14.93,16.61,13.05,12.53,55.99,57.05,55.00,60.18,67.66423383,5.34,5.54,5.96,6.22,6.42
E07000076,Tendring,28.45,23.00,19.61,23.00,19.30,50.34,49.50,55.14,46.22,68.27044724,7.26,7.52,7.78,8.12,8.32
E07000077,Uttlesford,9.67,10.59,8.62,6.07,10.73,61.88,65.35,61.84,63.95,62.19307863,4.76,4.93,5.08,5.31,5.31
E07000078,Cheltenham,15.07,18.75,21.25,14.86,11.20,60.13,61.68,59.43,60.21,62.47667197,4.85,5.09,5.19,5.18,5.19
E07000079,Cotswold,11.18,14.20,12.46,15.12,14.18,62.49,59.77,64.23,60.28,63.37911852,5.47,5.65,5.71,5.72,5.67
E07000080,Forest of Dean,16.99,17.31,20.13,20.62,20.29,62.65,53.26,63.80,60.30,70.50836959,6.37,6.61,6.80,6.89,6.98
E07000081,Gloucester,22.00,17.81,22.43,23.13,18.68,55.59,49.83,53.72,60.99,65.73613701,6.61,6.81,6.96,6.99,7.00
E07000082,Stroud,10.89,18.12,11.67,10.04,10.43,59.36,60.68,66.28,65.53,61.30504289,5.29,5.57,5.67,5.70,5.72
E07000083,Tewkesbury,12.08,11.66,19.05,12.67,14.81,60.73,62.96,50.76,61.07,68.48422282,6.16,6.41,6.58,6.59,6.58
E07000084,Basingstoke and Deane,11.50,16.12,16.98,16.13,20.24,54.61,57.56,56.41,60.40,65.78747592,5.35,5.50,5.70,5.83,5.88
E07000085,East Hampshire,8.61,16.92,18.37,17.52,12.73,59.86,59.30,65.72,64.61,67.43410697,5.08,5.17,5.37,5.49,5.58
E07000086,Eastleigh,10.02,12.99,11.82,13.74,16.53,57.11,60.05,50.84,63.74,67.97248395,4.68,4.81,4.95,5.08,5.19
E07000087,Fareham,8.45,17.25,10.16,10.19,7.68,56.16,60.67,60.44,56.86,65.72267998,5.03,5.14,5.35,5.65,5.90
E07000088,Gosport,20.61,25.76,21.21,13.46,15.82,52.79,46.86,56.51,56.65,70.4470509,6.06,6.37,6.31,6.98,7.25
E07000089,Hart,5.01,10.73,10.90,6.69,16.89,62.49,60.86,60.76,66.30,63.25834665,4.43,4.55,4.68,4.76,4.88
E07000090,Havant,21.17,17.56,14.41,15.78,18.08,50.64,50.21,50.38,56.68,68.1150256,6.22,6.37,6.59,6.79,7.14
E07000091,New Forest,12.44,17.36,16.68,12.00,11.83,67.04,61.11,60.56,60.00,66.13010616,5.29,5.58,5.79,5.97,6.09
E07000092,Rushmoor,15.14,17.79,13.93,16.49,23.98,59.45,52.88,58.12,58.46,62.7537794,5.20,5.43,5.70,5.91,6.26
E07000093,Test Valley,10.62,13.04,11.79,10.44,10.22,60.92,57.77,59.12,62.04,66.82827021,4.67,4.84,5.13,5.13,5.27
E07000094,Winchester,8.79,12.98,7.13,8.54,11.16,63.83,60.13,63.40,63.75,58.79127293,4.12,4.30,4.38,4.40,4.45
E07000095,Broxbourne,17.29,17.38,18.37,17.87,16.25,55.43,61.22,56.15,63.13,66.32023543,5.58,5.81,6.02,6.09,6.15
E07000096,Dacorum,12.17,18.24,13.16,13.88,18.95,58.08,51.01,57.53,53.70,66.13811585,4.52,4.63,4.78,4.90,5.05
E07000098,Hertsmere,12.91,20.66,18.26,21.46,16.03,56.06,59.75,50.72,61.10,61.9022338,5.01,5.05,5.17,5.31,5.35
E07000099,North Hertfordshire,11.62,13.39,14.31,16.59,14.22,56.56,63.76,62.20,54.41,62.14509973,5.13,5.26,5.48,5.67,5.75
E07000102,Three Rivers,9.98,19.43,15.68,12.68,13.76,64.73,52.94,60.86,59.83,65.14046345,4.70,4.91,5.06,5.21,5.44
E07000103,Watford,15.72,14.32,13.51,19.28,12.46,58.88,56.57,56.77,54.45,58.90581345,4.91,5.11,5.26,5.51,5.67
E07000105,Ashford,17.33,15.54,22.00,26.26,14.51,54.47,57.35,52.90,58.47,67.46375054,5.49,5.66,6.04,6.05,6.14
E07000106,Canterbury,16.88,19.63,19.47,20.40,15.31,60.06,58.38,53.70,61.66,59.50729378,5.30,5.41,5.56,5.53,5.61
E07000107,Dartford,17.85,25.65,22.27,17.54,19.03,52.94,56.63,55.80,57.85,69.14136914,5.20,5.45,6.00,6.09,6.16
E07000108,Dover,21.59,25.08,23.90,20.52,29.71,56.20,54.75,61.05,56.37,63.97662338,6.05,6.28,6.63,6.81,7.10
E07000109,Gravesham,21.68,20.96,22.18,20.31,16.50,55.68,58.99,55.53,54.51,69.36045486,5.57,5.84,6.21,6.44,6.49
E07000110,Maidstone,15.56,17.98,15.94,17.07,13.16,60.90,58.72,59.28,60.70,65.54671067,5.08,5.35,5.67,5.83,5.93
E07000111,Sevenoaks,11.65,15.84,14.59,6.49,15.60,64.32,62.75,62.76,65.19,58.17320011,5.00,5.14,5.31,5.44,5.39
E07000112,Shepway,22.82,29.65,21.98,24.05,15.74,48.70,56.90,59.26,58.13,66.20070853,6.28,6.52,6.76,6.96,7.03
E07000113,Swale,25.72,22.65,18.75,19.12,18.21,52.65,50.71,54.12,58.54,67.36297438,6.35,6.51,6.63,6.96,7.08
E07000114,Thanet,31.62,21.41,22.06,21.54,19.24,52.41,48.42,48.81,50.87,68.42462335,6.63,6.76,6.94,7.21,7.12
E07000115,Tonbridge and Malling,11.34,19.35,14.53,15.59,14.13,61.14,60.29,59.82,62.46,65.57510548,5.06,5.28,5.48,5.62,5.53
E07000116,Tunbridge Wells,10.98,17.24,15.67,16.34,15.30,64.80,63.34,57.53,61.86,62.19698072,4.68,4.79,5.05,5.24,5.15
E07000117,Burnley,36.05,23.98,17.73,27.73,21.62,52.29,47.74,47.64,45.05,66.48357767,6.23,6.42,6.57,6.81,7.02
E07000118,Chorley,17.41,13.51,17.20,16.67,19.17,61.54,63.24,60.53,53.14,64.16701519,5.86,5.96,6.14,6.36,6.46
E07000119,Fylde,14.38,14.42,16.12,17.59,16.62,50.57,56.19,52.89,52.55,70.52790086,5.67,5.88,6.12,6.36,6.47
E07000120,Hyndburn,32.10,27.85,26.33,22.69,17.72,46.79,47.37,54.34,51.97,68.29921423,6.20,6.40,6.60,7.03,7.24
E07000121,Lancaster,23.32,23.14,20.24,19.38,19.40,57.71,52.26,60.53,56.97,62.80760952,5.45,5.57,5.74,6.27,6.64
E07000122,Pendle,29.62,25.49,19.23,20.49,20.85,51.17,49.28,48.63,48.23,67.11494011,6.16,6.44,6.70,6.73,7.01
E07000123,Preston,27.40,18.25,25.97,26.65,19.17,53.01,52.99,57.16,47.52,62.33980266,6.19,6.34,6.60,6.88,7.10
E07000124,Ribble Valley,10.19,15.20,17.83,11.88,10.79,59.44,62.62,63.13,59.40,63.35586249,4.82,5.01,5.20,5.57,5.80
E07000125,Rossendale,23.16,20.27,17.87,23.96,21.81,52.28,53.29,58.80,52.00,67.91470655,5.74,5.88,5.97,6.25,6.57
E07000126,South Ribble,13.70,18.27,19.77,15.29,16.12,53.70,56.21,55.78,60.23,66.40488352,5.33,5.58,5.69,6.06,6.23
E07000127,West Lancashire,19.98,19.66,19.41,13.13,19.13,56.95,53.91,53.87,52.88,66.65100862,5.79,5.97,6.18,6.37,6.49
E07000128,Wyre,19.39,20.27,13.12,15.49,14.19,49.72,55.98,52.19,49.76,65.15848527,6.25,6.43,6.70,6.93,7.12
E07000129,Blaby,10.37,20.30,17.93,16.04,15.51,58.51,63.32,59.50,60.07,68.63580569,5.48,5.77,6.08,6.24,6.37
E07000130,Charnwood,13.73,20.71,15.51,17.46,17.98,61.14,53.67,62.46,59.78,57.98665574,5.53,5.69,6.38,6.43,6.46
E07000131,Harborough,8.32,16.18,14.07,14.72,10.55,62.83,63.43,61.76,64.87,65.85785512,4.54,4.69,5.12,5.39,5.49
E07000132,Hinckley and Bosworth,12.78,22.13,18.06,18.03,23.53,60.80,57.04,55.81,58.19,68.31746992,5.50,5.68,6.20,6.56,6.72
E07000133,Melton,13.12,16.51,19.17,19.50,14.24,63.55,56.09,58.36,60.40,66.66371645,5.31,5.51,6.19,6.27,6.45
E07000134,North West Leicestershire,14.90,18.39,18.14,17.44,22.09,59.12,55.95,57.70,55.32,68.79000084,5.60,5.80,6.29,6.58,6.69
E07000135,Oadby and Wigston,13.13,17.92,20.78,12.01,13.03,54.35,59.04,62.63,57.83,61.64915668,5.92,6.26,7.10,7.39,7.52
E07000136,Boston,24.37,18.91,24.74,17.56,23.29,49.56,50.20,54.63,53.44,73.24937756,6.18,6.45,6.78,7.13,7.30
E07000137,East Lindsey,28.86,24.16,22.90,19.70,20.48,49.66,55.32,57.36,55.51,72.34713767,8.06,8.40,8.69,9.02,9.23
E07000138,Lincoln,28.92,28.14,19.18,17.81,19.80,57.07,56.31,53.69,54.04,64.35558862,5.22,5.35,5.58,5.65,6.40
E07000139,North Kesteven,11.58,17.68,18.53,12.72,11.72,59.59,62.11,59.38,58.05,69.19777674,5.86,6.22,6.60,6.86,7.03
E07000140,South Holland,18.58,14.82,24.59,24.00,16.66,55.68,51.15,54.11,49.16,72.1691829,7.11,7.26,7.58,7.75,7.80
E07000141,South Kesteven,14.23,13.26,16.30,12.67,12.31,59.92,58.40,60.66,59.11,70.2516351,5.44,5.71,6.06,6.40,6.64
E07000142,West Lindsey,19.24,17.32,15.50,12.01,18.91,57.45,53.27,55.27,58.07,68.92620431,6.21,6.48,6.82,7.19,7.42
E07000143,Breckland,19.79,14.81,16.92,18.81,15.76,52.81,56.51,56.60,55.91,65.42524315,6.40,6.56,6.82,7.08,7.09
