msoa_code,imd15_score
E02000979,26.21
E02000980,29.74
E02000981,19.18
E02000982,31.65
E02000983,29.10
E02000984,5.40
E02000985,7.45
E02000986,10.18
E02000987,26.39
E02000988,30.36
E02000989,8.96
E02000990,13.60
E02000991,19.14
E02000992,12.51
E02000993,48.06
E02000994,52.98
E02000995,24.55
E02000996,54.02
E02000997,19.84
E02000998,41.82
E02000999,61.35
E02001000,33.03
E02001001,22.40
E02001002,29.37
E02001003,7.97
E02001004,46.47
E02001005,42.94
E02001006,34.55
E02001007,19.84
E02001008,45.96
E02001009,33.38
E02001010,42.71
E02001011,8.54
E02001012,28.82
E02001013,13.26
E02001014,27.42
E02001015,38.59
E02001016,48.23
E02001017,22.01
E02001018,12.93
E02001019,12.93
E02001020,5.41
E02001021,7.10
E02001022,20.66
E02001023,17.24
E02001024,10.09
E02001025,44.36
E02001026,44.78
E02001027,26.84
E02001028,5.26
E02001029,30.93
E02001030,12.80
E02001031,22.79
E02001032,19.09
E02001033,29.39
E02001034,46.78
E02001035,9.57
E02001036,23.03
E02001037,10.26
E02001038,27.05
E02001039,31.72
E02001040,20.95
E02001041,24.32
E02001042,17.63
E02001043,23.52
E02001044,14.16
E02001045,49.11
E02001046,50.50
E02001047,42.62
E02001048,35.24
E02001049,32.40
E02001050,53.45
E02001051,41.06
E02001052,43.44
E02001053,72.21
E02001055,58.06
E02001056,64.89
E02001057,55.11
E02001059,53.35
E02001061,57.34
E02001062,47.55
E02001063,32.76
E02001064,58.99
E02001065,44.58
E02001066,38.20
E02001067,56.88
E02001068,61.31
E02001069,41.73
E02001070,33.78
E02001071,43.24
E02001072,33.27
E02001073,20.77
E02001074,40.69
E02001075,40.90
E02001076,26.56
E02001077,20.22
E02001078,26.69
E02001079,39.33
E02001080,25.60
E02001081,20.58
E02001082,20.45
E02001083,24.10
E02001084,24.07
E02001085,47.38
E02001086,33.12
E02001087,12.92
E02001088,40.48
E02001089,15.61
E02001090,25.98
E02001091,29.54
E02001092,46.30
E02001093,50.93
E02001094,65.03
E02001095,48.42
E02001096,41.60
E02001097,45.57
E02001098,17.03
E02001099,22.81
E02001100,21.08
E02001101,12.60
E02001102,15.48
E02001103,9.25
E02001104,23.20
E02001105,19.02
E02001106,23.13
E02001107,25.54
E02001108,41.41
E02001109,38.95
E02001110,7.32
E02001111,68.39
E02001112,8.79
E02001113,48.86
E02001114,28.45
E02001115,20.80
E02001116,38.19
E02001117,7.46
E02001118,9.13
E02001119,46.31
E02001121,47.14
E02001123,45.92
E02001124,45.57
E02001125,21.66
E02001126,48.35
E02001127,46.24
E02001128,27.29
E02001129,37.86
E02001130,19.17
E02001131,19.24
E02001132,22.20
E02001133,14.42
E02001134,14.39
E02001135,57.26
E02001136,23.41
E02001137,13.13
E02001138,11.97
E02001139,51.51
E02001140,38.06
E02001141,57.86
E02001142,11.45
E02001143,44.55
E02001144,26.05
E02001145,17.71
E02001146,48.76
E02001147,47.09
E02001148,30.84
E02001149,44.96
E02001150,38.91
E02001151,20.25
E02001152,33.46
E02001153,50.60
E02001154,28.19
E02001155,34.22
E02001156,17.22
E02001157,56.38
E02001158,45.18
E02001159,33.32
E02001160,45.81
E02001161,24.81
E02001162,27.69
E02001163,19.28
E02001164,34.58
E02001165,26.94
E02001166,28.43
E02001167,34.51
E02001168,29.90
E02001169,7.16
E02001170,6.66
E02001171,13.41
E02001172,52.03
E02001173,51.10
E02001174,20.32
E02001175,35.91
E02001176,26.50
E02001177,34.66
E02001178,33.30
E02001179,43.70
E02001180,65.65
E02001181,44.35
E02001182,46.29
E02001183,35.91
E02001184,34.52
E02001185,27.19
E02001186,25.03
E02001187,25.31
E02001188,35.10
E02001189,18.69
E02001190,68.49
E02001191,19.84
E02001192,14.08
E02001193,31.68
E02001194,9.79
E02001195,19.60
E02001196,14.63
E02001197,14.67
E02001198,28.36
E02001199,8.77
E02001200,53.19
E02001201,19.35
E02001202,36.95
E02001203,5.70
E02001204,21.03
E02001205,26.51
E02001206,15.46
E02001207,11.92
E02001208,20.74
E02001209,21.83
E02001210,33.33
E02001211,9.94
E02001212,46.35
E02001213,13.90
E02001214,16.79
E02001215,12.50
E02001216,9.10
E02001217,20.10
E02001218,8.71
E02001219,4.44
E02001220,11.30
E02001221,5.83
E02001222,11.25
E02001223,5.09
