date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,Blackpool,E06000009,Total,61419,15754,17613,8224,3217,2604,643,740,1468,6173,4983,571627.6,11.4
2011,Cheshire East,E06000049,Total,181136,32246,26242,25533,32196,12469,6538,4525,5530,23337,12520,2391342.2,16.5
2011,Cheshire West and Chester,E06000050,Total,160138,26528,25727,23424,27282,13656,5786,4132,5441,17178,10984,2297378.4,17.4
2011,Halton,E06000006,Total,57577,10704,13262,9929,9316,2987,1800,591,1614,3696,3678,729884.2,14.5
2011,Warrington,E06000007,Total,100856,15292,24014,16340,12844,9933,2767,998,2737,9336,6595,1272896.6,15
2011,Allerdale,E07000026,Total,46076,9266,5329,5062,7493,5448,1801,1447,1323,6025,2882,681961.4,18.3
2011,Barrow-in-Furness,E07000027,Total,31257,11122,8854,3423,1238,404,943,238,1096,2009,1930,303383.5,11.1
2011,Carlisle,E07000028,Total,53874,13378,14371,6838,4792,1878,912,916,2093,5464,3232,659832.7,14.6
2011,Copeland,E07000029,Total,32891,5237,5027,5646,8610,1294,401,1109,1001,2782,1784,464336.2,16.4
2011,Eden,E07000030,Total,27461,5512,2043,2816,3838,2133,1156,770,1071,5771,2351,385960.7,20
2011,South Lakeland,E07000031,Total,51672,11590,5730,5108,8186,3062,1493,958,2183,9125,4237,670161.9,17.5
2011,Bolton,E08000001,Total,123367,21045,27946,22080,19590,8280,1601,1197,2588,10086,8954,1356332.2,13
2011,Bury,E08000002,Total,88036,13856,17131,19581,15805,3567,1170,1084,1861,7689,6292,987293.5,13.3
2011,Manchester,E08000003,Total,213705,40091,53634,50895,19994,4423,2506,3836,5397,15288,17641,2234478.5,12.4
2011,Oldham,E08000004,Total,96300,18074,23869,18594,13470,3004,1587,1384,1698,7349,7271,927093,11.4
2011,Rochdale,E08000005,Total,90753,17250,19314,18308,13162,4112,1446,1134,1861,7076,7090,943287.7,12.3
2011,Salford,E08000006,Total,106904,20766,24873,22558,14750,2846,1279,1385,2644,7987,7816,1135697.7,12.5
2011,Stockport,E08000007,Total,137130,20812,29557,29992,23689,3157,1549,2095,2864,13362,10053,1408370.6,12.4
2011,Tameside,E08000008,Total,101892,18180,23046,22200,16585,2249,1197,1494,1920,7651,7370,987444,11.4
2011,Trafford,E08000009,Total,110912,16539,23249,26282,17480,3071,1175,1804,2535,11166,7611,1186307.2,12.9
2011,Wigan,E08000010,Total,149908,24856,29011,28699,25166,11832,3450,1081,3320,10864,11629,1755520.9,13.8
2011,Burnley,E07000117,Total,38133,8390,9421,6117,4499,1524,1249,626,678,2941,2688,392863.4,12.1
2011,Chorley,E07000118,Total,53702,8185,8323,9243,10315,3377,2751,785,1120,5827,3776,677463.6,15.4
2011,Fylde,E07000119,Total,34510,6453,5676,6960,5273,1434,664,675,909,4055,2411,407164.9,14.5
2011,Hyndburn,E07000120,Total,35993,7087,7880,7710,3888,1721,1028,611,628,2860,2580,364594.3,11.9
2011,Lancaster,E07000121,Total,62832,14211,13477,9972,3731,2741,3231,1229,2764,6644,4832,833558,16.2
2011,Pendle,E07000122,Total,39324,9011,7431,6409,5276,1798,1321,1093,815,3370,2800,463874.9,14
2011,Preston,E07000123,Total,64180,13944,18332,8827,6740,2956,1119,1790,1407,5038,4027,687150.1,12.5
2011,Ribble Valley,E07000124,Total,28713,4699,3183,4919,5720,1711,983,931,547,4070,1950,352415.9,15.5
2011,Rossendale,E07000125,Total,32808,4773,4655,5029,6900,3466,951,437,635,3292,2670,419235.8,15.6
2011,South Ribble,E07000126,Total,55761,8281,13127,12824,6615,2725,1774,1071,1050,4691,3603,615606.6,13
2011,West Lancashire,E07000127,Total,51694,8765,7040,8169,10607,4160,1371,1003,1134,5648,3797,657225.1,15.6
2011,Wyre,E07000128,Total,48558,8191,8695,8498,7633,2727,664,902,1499,5406,4343,596246.6,15.4
2011,Knowsley,E08000011,Total,61691,9948,11064,15620,11750,1424,1093,769,1593,3531,4899,742355.7,13.9
2011,Liverpool,E08000012,Total,196630,34811,51672,48405,17061,5491,2175,4363,4965,12180,15507,2219401.2,13.1
2011,Sefton,E08000014,Total,121919,23016,21780,20466,20659,8431,2490,2346,3074,10137,9520,1595441,15.6
2011,St. Helens,E08000013,Total,78580,12438,17763,14800,13874,4065,2561,604,1928,5347,5200,962756.4,14.2
2011,Wirral,E08000015,Total,139929,20927,30527,32533,19400,5932,1877,2717,4051,11602,10363,1747654.5,14.8
2011,East Riding of Yorkshire,E06000011,Total,158757,27211,17065,24412,29827,11759,6293,5188,6184,18942,11876,2345745.7,18.3
2011,"Kingston upon Hull, City of",E06000010,Total,110903,22484,39799,21744,5773,1946,1198,1070,3541,5676,7672,1107323.6,11.4
2011,North East Lincolnshire,E06000012,Total,70776,15634,21831,10499,6022,1845,1278,858,2534,4574,5701,800659.5,13.2
2011,North Lincolnshire,E06000013,Total,78101,14268,16130,10639,12101,4937,2918,1921,3070,6841,5276,1113887.1,16.9
2011,York,E06000014,Total,98721,23810,26163,11687,6239,4207,4582,2954,3451,9297,6331,1315177.8,15.8
2011,Craven,E07000163,Total,27600,5505,2280,3692,3448,2295,1465,1051,1012,4595,2257,437137.6,21.1
2011,Hambleton,E07000164,Total,45255,9213,3225,4841,8204,3474,2058,1798,1791,7270,3381,716822.9,20.7
